T,P,NaCl,xH2S,yH2O,r,H2O,H2S
298.15,350,6,0.01885,0.00951,1201.87,-5.5238,-2.4317
298.15,400,6,0.01913,0.00962,1204.72,-5.6323,-2.4871
298.15,450,6,0.01939,0.00972,1207.54,-5.7241,-2.5278
298.15,500,6,0.01964,0.0098,1210.34,-5.8028,-2.5568
298.15,550,6,0.01988,0.00988,1213.1,-5.8706,-2.5766
298.15,600,6,0.02012,0.00996,1215.84,-5.9296,-2.5889
323.15,1,0,0.00089,0.12415,990.49,-0.0094,-0.0057
323.15,5,0,0.00495,0.02551,990.64,-0.0479,-0.0286
323.15,10,0,0.01003,0.01321,990.82,-0.0977,-0.0578
323.15,20,0,0.02013,0.00712,991.1,-0.2043,-0.1184
323.15,30,0,0.03002,0.00517,991.32,-0.324,-0.1827
323.15,40,0,0.03331,0.00428,991.49,-0.4672,-0.2522
323.15,50,0,0.03431,0.00395,991.67,-2.6118,-0.515
323.15,60,0,0.03531,0.02192,992.79,-2.7955,-0.6795
323.15,70,0,0.03553,0.02217,993.35,-2.9507,-0.816
323.15,80,0,0.03573,0.02242,993.9,-3.0847,-0.932
323.15,90,0,0.03594,0.02265,994.45,-3.2027,-1.0324
323.15,100,0,0.03613,0.02287,995,-3.3078,-1.1205
323.15,120,0,0.03652,0.02328,996.1,-3.4888,-1.2686
323.15,140,0,0.0369,0.02366,997.19,-3.6406,-1.3891
323.15,160,0,0.03726,0.02401,998.27,-3.7709,-1.4892
323.15,180,0,0.03761,0.02434,999.35,-3.8846,-1.574
323.15,200,0,0.03796,0.02465,1000.43,-3.9853,-1.6467
323.15,250,0,0.03878,0.02533,1003.1,-4.1942,-1.7896
323.15,300,0,0.03955,0.02593,1005.73,-4.3595,-1.8932
323.15,350,0,0.04028,0.02646,1008.33,-4.4946,-1.9702
323.15,400,0,0.04098,0.02692,1010.9,-4.6073,-2.0277
323.15,450,0,0.04164,0.02734,1013.45,-4.703,-2.0706
323.15,500,0,0.04228,0.02772,1015.96,-4.7852,-2.1022
323.15,550,0,0.04289,0.02807,1018.44,-4.8564,-2.1246
323.15,600,0,0.04347,0.02838,1020.89,-4.9186,-2.1395
323.15,1,1,0.00077,0.12,1026.13,-0.0094,-0.0057
323.15,5,1,0.00427,0.02466,1026.07,-0.0479,-0.0286
323.15,10,1,0.00863,0.01277,1025.99,-0.0977,-0.0578
323.15,20,1,0.01721,0.00688,1025.8,-0.2043,-0.1184
323.15,30,1,0.02546,0.00499,1025.59,-0.324,-0.1827
323.15,40,1,0.0331,0.00414,1025.41,-0.4672,-0.2522
323.15,50,1,0.03955,0.00382,1025.33,-2.6118,-0.515
323.15,60,1,0.02984,0.02093,1026.9,-2.7955,-0.6795
323.15,70,1,0.03001,0.02118,1027.46,-2.9507,-0.816
323.15,80,1,0.03018,0.0214,1028.01,-3.0847,-0.932
323.15,90,1,0.03035,0.02162,1028.57,-3.2027,-1.0324
323.15,100,1,0.03052,0.02183,1029.12,-3.3078,-1.1205
323.15,120,1,0.03084,0.02222,1030.23,-3.4888,-1.2686
323.15,140,1,0.03115,0.02258,1031.33,-3.6406,-1.3891
323.15,160,1,0.03145,0.02291,1032.43,-3.7709,-1.4892
323.15,180,1,0.03174,0.02321,1033.52,-3.8846,-1.574
323.15,200,1,0.03203,0.0235,1034.61,-3.9853,-1.6467
323.15,250,1,0.0327,0.02414,1037.3,-4.1942,-1.7896
323.15,300,1,0.03334,0.0247,1039.97,-4.3595,-1.8932
323.15,350,1,0.03395,0.02519,1042.6,-4.4946,-1.9702
323.15,400,1,0.03453,0.02563,1045.2,-4.6073,-2.0277
323.15,450,1,0.03508,0.02602,1047.78,-4.703,-2.0706
323.15,500,1,0.03561,0.02637,1050.32,-4.7852,-2.1022
323.15,550,1,0.03611,0.02669,1052.84,-4.8564,-2.1246
323.15,600,1,0.0366,0.02698,1055.33,-4.9186,-2.1395
323.15,1,2,0.00068,0.11554,1059.71,-0.0094,-0.0057
323.15,5,2,0.00375,0.02375,1059.51,-0.0479,-0.0286
323.15,10,2,0.00755,0.0123,1059.27,-0.0977,-0.0578
323.15,20,2,0.01496,0.00663,1058.79,-0.2043,-0.1184
323.15,30,2,0.02199,0.00481,1058.33,-0.324,-0.1827
323.15,40,2,0.0284,0.00399,1057.95,-0.4672,-0.2522
323.15,50,2,0.03372,0.00368,1057.72,-2.6118,-0.515
323.15,60,2,0.0257,0.01993,1059.55,-2.7955,-0.6795
323.15,70,2,0.02584,0.02015,1060.12,-2.9507,-0.816
323.15,80,2,0.02599,0.02037,1060.68,-3.0847,-0.932
323.15,90,2,0.02613,0.02057,1061.25,-3.2027,-1.0324
323.15,100,2,0.02627,0.02077,1061.81,-3.3078,-1.1205
323.15,120,2,0.02655,0.02113,1062.93,-3.4888,-1.2686
323.15,140,2,0.02681,0.02147,1064.05,-3.6406,-1.3891
323.15,160,2,0.02706,0.02177,1065.17,-3.7709,-1.4892
323.15,180,2,0.02731,0.02206,1066.28,-3.8846,-1.574
323.15,200,2,0.02755,0.02233,1067.38,-3.9853,-1.6467
323.15,250,2,0.02813,0.02293,1070.13,-4.1942,-1.7896
323.15,300,2,0.02867,0.02345,1072.84,-4.3595,-1.8932
323.15,350,2,0.02918,0.0239,1075.52,-4.4946,-1.9702
323.15,400,2,0.02967,0.02431,1078.17,-4.6073,-2.0277
323.15,450,2,0.03014,0.02467,1080.79,-4.703,-2.0706
323.15,500,2,0.03059,0.02499,1083.39,-4.7852,-2.1022
323.15,550,2,0.03102,0.02529,1085.95,-4.8564,-2.1246
323.15,600,2,0.03143,0.02556,1088.49,-4.9186,-2.1395
323.15,1,3,0.00061,0.11066,1091.38,-0.0094,-0.0057
323.15,5,3,0.00335,0.02275,1091.1,-0.0479,-0.0286
323.15,10,3,0.00672,0.01178,1090.75,-0.0977,-0.0578
323.15,20,3,0.01324,0.00636,1090.08,-0.2043,-0.1184
323.15,30,3,0.01937,0.00462,1089.48,-0.324,-0.1827
323.15,40,3,0.02489,0.00383,1088.98,-0.4672,-0.2522
323.15,50,3,0.02941,0.00353,1088.68,-2.6118,-0.515
323.15,60,3,0.02259,0.01886,1090.66,-2.7955,-0.6795
323.15,70,3,0.02272,0.01907,1091.23,-2.9507,-0.816
323.15,80,3,0.02284,0.01927,1091.81,-3.0847,-0.932
323.15,90,3,0.02297,0.01946,1092.39,-3.2027,-1.0324
323.15,100,3,0.02309,0.01964,1092.96,-3.3078,-1.1205
323.15,120,3,0.02333,0.01998,1094.11,-3.4888,-1.2686
323.15,140,3,0.02356,0.02029,1095.25,-3.6406,-1.3891
323.15,160,3,0.02378,0.02058,1096.38,-3.7709,-1.4892
323.15,180,3,0.02399,0.02085,1097.52,-3.8846,-1.574
323.15,200,3,0.0242,0.0211,1098.64,-3.9853,-1.6467
323.15,250,3,0.0247,0.02165,1101.44,-4.1942,-1.7896
323.15,300,3,0.02517,0.02213,1104.21,-4.3595,-1.8932
323.15,350,3,0.02562,0.02255,1106.95,-4.4946,-1.9702
323.15,400,3,0.02605,0.02292,1109.66,-4.6073,-2.0277
323.15,450,3,0.02645,0.02325,1112.34,-4.703,-2.0706
323.15,500,3,0.02684,0.02355,1114.99,-4.7852,-2.1022
323.15,550,3,0.02722,0.02382,1117.61,-4.8564,-2.1246
323.15,600,3,0.02758,0.02407,1120.21,-4.9186,-2.1395
323.15,1,4,0.00056,0.10539,1121.31,-0.0094,-0.0057
323.15,5,4,0.00304,0.02167,1120.97,-0.0479,-0.0286
323.15,10,4,0.00608,0.01123,1120.55,-0.0977,-0.0578
323.15,20,4,0.01195,0.00606,1119.77,-0.2043,-0.1184
323.15,30,4,0.0174,0.0044,1119.07,-0.324,-0.1827
323.15,40,4,0.02226,0.00366,1118.51,-0.4672,-0.2522
323.15,50,4,0.02621,0.00337,1118.17,-2.6118,-0.515
323.15,60,4,0.02026,0.01774,1120.24,-2.7955,-0.6795
323.15,70,4,0.02037,0.01793,1120.83,-2.9507,-0.816
323.15,80,4,0.02049,0.01812,1121.41,-3.0847,-0.932
323.15,90,4,0.0206,0.0183,1122,-3.2027,-1.0324
323.15,100,4,0.02071,0.01846,1122.59,-3.3078,-1.1205
323.15,120,4,0.02092,0.01878,1123.76,-3.4888,-1.2686
323.15,140,4,0.02112,0.01906,1124.92,-3.6406,-1.3891
323.15,160,4,0.02132,0.01933,1126.08,-3.7709,-1.4892
323.15,180,4,0.02151,0.01957,1127.24,-3.8846,-1.574
323.15,200,4,0.0217,0.0198,1128.39,-3.9853,-1.6467
323.15,250,4,0.02214,0.02031,1131.25,-4.1942,-1.7896
323.15,300,4,0.02256,0.02075,1134.08,-4.3595,-1.8932
323.15,350,4,0.02296,0.02114,1136.88,-4.4946,-1.9702
323.15,400,4,0.02334,0.02148,1139.65,-4.6073,-2.0277
323.15,450,4,0.0237,0.02178,1142.39,-4.703,-2.0706
323.15,500,4,0.02404,0.02205,1145.1,-4.7852,-2.1022
323.15,550,4,0.02438,0.0223,1147.78,-4.8564,-2.1246
323.15,600,4,0.0247,0.02252,1150.44,-4.9186,-2.1395
323.15,1,5,0.00052,0.09979,1149.66,-0.0094,-0.0057
323.15,5,5,0.00281,0.02052,1149.28,-0.0479,-0.0286
323.15,10,5,0.00561,0.01064,1148.81,-0.0977,-0.0578
323.15,20,5,0.01097,0.00574,1147.94,-0.2043,-0.1184
323.15,30,5,0.01592,0.00418,1147.18,-0.324,-0.1827
323.15,40,5,0.0203,0.00347,1146.58,-0.4672,-0.2522
323.15,50,5,0.02384,0.0032,1146.21,-2.6118,-0.515
323.15,60,5,0.01852,0.01657,1148.35,-2.7955,-0.6795
323.15,70,5,0.01863,0.01676,1148.95,-2.9507,-0.816
323.15,80,5,0.01873,0.01693,1149.55,-3.0847,-0.932
323.15,90,5,0.01883,0.01709,1150.15,-3.2027,-1.0324
323.15,100,5,0.01893,0.01724,1150.75,-3.3078,-1.1205
323.15,120,5,0.01912,0.01753,1151.94,-3.4888,-1.2686
323.15,140,5,0.0193,0.01779,1153.13,-3.6406,-1.3891
323.15,160,5,0.01948,0.01803,1154.32,-3.7709,-1.4892
323.15,180,5,0.01966,0.01826,1155.5,-3.8846,-1.574
323.15,200,5,0.01983,0.01847,1156.67,-3.9853,-1.6467
323.15,250,5,0.02023,0.01893,1159.59,-4.1942,-1.7896
323.15,300,5,0.02061,0.01933,1162.48,-4.3595,-1.8932
323.15,350,5,0.02098,0.01968,1165.34,-4.4946,-1.9702
